doc_length,embedding_dim,dense_dim,dropout,mean_accuracy
5000,16,16,0.1,0.7074074074074080
5000,16,16,0.2,0.7111111111111110
5000,16,16,0.3,0.6925925925925930
5000,16,16,0.4,0.7135802469135800
5000,16,32,0.1,0.7197530864197530
5000,16,32,0.2,0.7160493827160500
5000,16,32,0.3,0.708641975308642
5000,16,32,0.4,0.7395061728395060
5000,16,64,0.1,0.7222222222222220
5000,16,64,0.2,0.7209876543209880
5000,16,64,0.3,0.7271604938271600
5000,16,64,0.4,0.717283950617284
5000,16,128,0.1,0.7259259259259260
5000,16,128,0.2,0.7308641975308640
5000,16,128,0.3,0.7197530864197530
5000,16,128,0.4,0.7160493827160490
5000,16,256,0.1,0.725925925925926
5000,16,256,0.2,0.717283950617284
5000,16,256,0.3,0.7345679012345680
5000,16,256,0.4,0.7148148148148150
5000,16,102,4 0.,1 0.6901234567901234
5000,16,102,4 0.,2 0.6555555555555556
5000,16,102,4 0.,3 0.682716049382716
5000,16,102,4 0.,4 0.6925925925925925
5000,32,16,0.1,0.7209876543209880
5000,32,16,0.2,0.7283950617283950
5000,32,16,0.3,0.7160493827160490
5000,32,16,0.4,0.725925925925926
5000,32,32,0.1,0.7308641975308640
5000,32,32,0.2,0.7444444444444450
5000,32,32,0.3,0.725925925925926
5000,32,32,0.4,0.7308641975308640
5000,32,64,0.1,0.7370370370370370
5000,32,64,0.2,0.7172839506172840
5000,32,64,0.3,0.7419753086419750
5000,32,64,0.4,0.7148148148148150
5000,32,128,0.1,0.7382716049382720
5000,32,128,0.2,0.7358024691358020
5000,32,128,0.3,0.7296296296296300
5000,32,128,0.4,0.7135802469135800
5000,32,256,0.1,0.7111111111111110
5000,32,256,0.2,0.7271604938271610
5000,32,256,0.3,0.7185185185185190
5000,32,256,0.4,0.7222222222222220
5000,32,102,4 0.,1 0.725925925925926
5000,32,102,4 0.,2 0.725925925925926
5000,32,102,4 0.,3 0.708641975308642
5000,32,102,4 0.,4 0.7148148148148149
5000,64,16,0.1,0.717283950617284
5000,64,16,0.2,0.7382716049382720
5000,64,16,0.3,0.7481481481481480
5000,64,16,0.4,0.7209876543209880
5000,64,32,0.1,0.7345679012345680
5000,64,32,0.2,0.7283950617283950
5000,64,32,0.3,0.7197530864197530
5000,64,32,0.4,0.7580246913580250
5000,64,64,0.1,0.7370370370370370
5000,64,64,0.2,0.7209876543209880
5000,64,64,0.3,0.7246913580246910
5000,64,64,0.4,0.7432098765432100
5000,64,128,0.1,0.7345679012345680
5000,64,128,0.2,0.7345679012345680
5000,64,128,0.3,0.7234567901234570
5000,64,128,0.4,0.7209876543209880
5000,64,256,0.1,0.7086419753086420
5000,64,256,0.2,0.7123456790123460
5000,64,256,0.3,0.7395061728395060
5000,64,256,0.4,0.7333333333333330
